run,sample,temperature,current,vibration,label
1,1,25.72,4.8,0.82,0
1,2,23.81,5.19,1.02,0
1,3,25.27,4.63,0.8,0
1,4,24.2,5.08,1.03,0
1,5,25.65,5.16,0.96,0
1,6,24.85,4.82,1.18,0
1,7,25.78,4.73,0.96,0
1,8,24.33,4.77,1.13,0
1,9,23.81,4.9,0.93,0
1,10,24.53,4.81,0.77,0
1,11,24.88,4.7,1.21,0
1,12,23.74,4.83,1.06,0
1,13,26.16,4.89,0.85,0
1,14,23.71,5.13,1.14,0
1,15,26.46,5.28,1.18,0
1,16,24.64,4.96,1.17,0
1,17,23.99,4.88,1.09,0
1,18,25.61,5.15,0.79,0
1,19,25.4,5.03,0.87,0
1,20,24.89,4.82,1.21,0
1,21,25.56,4.78,0.91,0
1,22,25.8,4.64,1.16,0
1,23,25.92,4.92,0.78,0
1,24,26.24,5.05,1.11,0
1,25,24.14,5.0,1.19,0
1,26,25.43,4.71,0.82,0
1,27,25.73,5.03,1.12,0
1,28,24.79,5.07,0.93,0
1,29,26.49,4.71,1.0,0
1,30,25.77,5.29,0.83,0
1,31,23.98,5.14,1.05,0
1,32,24.65,5.08,0.98,0
1,33,24.25,5.04,1.22,0
1,34,25.54,4.69,1.19,0
1,35,25.75,5.21,0.92,0
1,36,24.38,4.73,0.75,0
1,37,25.67,5.18,1.24,0
1,38,25.79,5.01,0.8,0
1,39,25.38,5.27,1.0,0
1,40,24.1,4.9,0.83,0
1,41,26.36,5.34,1.21,0
1,42,25.3,4.99,0.81,0
1,43,24.59,5.39,1.15,0
1,44,24.22,4.79,1.03,0
1,45,23.74,5.19,1.16,0
1,46,26.43,5.03,0.81,0
1,47,25.48,5.36,0.83,0
1,48,25.08,5.09,1.23,0
1,49,26.29,5.2,1.09,0
1,50,25.64,4.92,1.09,0
1,51,24.62,5.32,0.98,0
1,52,24.24,4.65,0.76,0
1,53,25.16,5.07,0.75,0
1,54,25.62,4.65,0.78,0
1,55,23.59,4.86,1.01,0
