sample,temperature,current,label
1,25.5,5.0,0
2,25.2,4.94,0
3,25.1,5.08,0
4,25.3,5.0,0
5,24.6,5.01,0
6,25.1,4.99,0
7,25.2,4.92,0
8,34.5,7.9,1
9,34.5,7.96,1
10,34.9,8.09,1
11,35.0,8.05,1
12,35.0,8.08,1
13,25.5,5.06,0
14,25.0,5.04,0
15,25.1,5.09,0
16,24.6,5.02,0
17,25.1,4.94,0
18,25.3,5.09,0
19,24.8,5.08,0
20,25.1,7.9,1
21,24.5,7.99,1
22,25.3,7.99,1
23,24.9,7.95,1
24,25.3,8.1,1
25,25.0,5.06,0
26,25.3,4.9,0
27,25.0,5.04,0
28,25.5,5.02,0
29,25.3,4.94,0
30,25.0,5.08,0
31,24.8,5.02,0
